k,accuracyProm,Tiempo
1,0.978049,64.0864
2,0.978049,63.9257
3,0.958537,63.7846
4,0.956098,64.2236
5,0.936585,64.3975
6,0.917073,64.4694
7,0.904878,64.388
8,0.890244,64.4035
9,0.870732,64.675
10,0.853659,64.2845
11,0.829268,63.9348
12,0.826829,63.9374
13,0.812195,63.935
14,0.795122,63.8998
15,0.778049,63.9966
16,0.758537,64.039
17,0.743902,64.2735
18,0.731707,64.0031
19,0.717073,63.9831
20,0.704878,64.3331
21,0.702439,64.271
22,0.697561,64.6338
23,0.7,65.093
24,0.690244,64.731
25,0.685366,64.628
26,0.680488,65.2063
27,0.680488,64.7576
28,0.673171,65.218
29,0.658537,65.1179
30,0.660976,65.5097
31,0.663415,64.9919
32,0.658537,65.1601
33,0.653659,65.0679
34,0.653659,65.1711
35,0.653659,65.1987
36,0.65122,65.1977
37,0.646341,64.0207
38,0.641463,64.486
39,0.641463,64.6051
40,0.639024,64.1313
41,0.639024,63.9721
42,0.634146,63.9275
43,0.641463,65.1617
44,0.639024,64.8387
45,0.641463,63.9489
46,0.639024,64.0284
47,0.636585,65.2311
48,0.636585,64.6312
49,0.631707,64.8998
50,0.631707,65.5785
51,0.626829,65.5306
52,0.626829,65.6282
53,0.619512,65.7177
54,0.617073,65.5428
55,0.617073,65.9057
56,0.619512,65.3997
57,0.619512,64.0192
58,0.619512,63.9199
59,0.619512,64.0242
60,0.619512,64.1075
61,0.614634,63.9765
62,0.609756,63.9946
63,0.609756,63.9873
64,0.609756,63.9935
65,0.607317,63.9947
66,0.607317,64.1087
67,0.607317,63.9784
68,0.604878,64.0091
69,0.604878,63.9511
70,0.604878,63.9612
71,0.604878,64.0242
72,0.602439,63.9511
73,0.604878,64.0418
74,0.604878,63.9618
75,0.604878,64.0198
76,0.602439,63.8162
77,0.602439,63.934
78,0.602439,63.9421
79,0.602439,63.9353
80,0.602439,64.0149
81,0.6,64.0159
82,0.597561,64.0358
83,0.597561,63.9927
84,0.597561,64.025
85,0.597561,63.9594
86,0.597561,64.0357
87,0.597561,64.0258
88,0.597561,63.9896
89,0.597561,63.9657
90,0.597561,63.9135
91,0.597561,63.9612
92,0.595122,63.9835
93,0.595122,63.9674
94,0.595122,63.9822
95,0.595122,63.9151
96,0.595122,64.0374
97,0.595122,63.9696
98,0.597561,64.0168
99,0.597561,63.97
